features,details,expires_at,url,price_number,business_type,latitude,longitude,city,district,category,title,description,area,year,rooms,price,price_per_meter,floor,token
"{""آسانسور"": true, ""پارکینگ"": true, ""انباری"": true, ""بالکن دارد"": true, ""جنس کف سنگ"": true, ""سرویس بهداشتی ایرانی و فرنگی"": true, ""سرمایش داکت اسپلیت"": true, ""گرمایش داکت اسپلیت"": true, ""تأمین‌کننده آب گرم پکیج"": true}","{""تعداد واحد در طبقه"": ""۱"", ""تعداد کل طبقات ساختمان"": ""۵"", ""سند"": ""تک‌برگ"", ""نوع آشپزخانه"": ""جزیره"", ""نمای ساختمان"": ""ترکیبی"", ""وضعیت سکونت"": ""تخلیه"", ""تعداد سرویس بهداشتی"": ""۳"", ""تعداد پارکینگ"": ""۲"", ""تعداد حمام"": ""۲"", ""استخر"": ""دارد"", ""جکوزی"": ""دارد"", ""سونا"": ""دارد""}",2026-08-13T21:03:16.105977,https://divar.ir/v/gaVFiOVd,99999997952,premium-panel,,,تهران,گیشا,فروش آپارتمان,۳ خوابه نوساز گیشا (دید بوستان گفتگو),"✅ بهترین کوچه زوج گیشا با دید بوستان گفتگو
✅ سازنده برند و خوشنام منطقه 
✅ تمامی امکانات (۲ پارکینگ سندی)
✅ روف گاردن
✅ مشاعات آبی 
✅ نما و مشاعات چشمگیر 
✅ تمام متریال تو کار و برند 
✅ نقشه مهندسی ساز و بدون کوچکترین پرتی 
✅ تراس بزرگ و قابل چیدمان و موارد شنیدنی دیگر...
✅ برای هماهنکی بازدید همین حالا تماس بگیرید☎️",۱۵۳,۱۴۰۵,۳,"‏۱۰۰,۰۰۰,۰۰۰,۰۰۰ تومان","‏۶۵۳,۵۹۴,۰۰۰ تومان",۱ از ۵,gaVFiOVd
"{""آسانسور ندارد"": false, ""پارکینگ ندارد"": false, ""انباری ندارد"": false, ""بالکن دارد"": true, ""جنس کف سنگ"": true, ""سرویس بهداشتی فرنگی"": true, ""سرمایش کولر آبی"": true, ""گرمایش شوفاژ"": true, ""تأمین‌کننده آب گرم پکیج"": true}","{""تعداد واحد در طبقه"": ""۱"", ""تعداد کل طبقات ساختمان"": ""۴"", ""جهت ساختمان"": ""شمالی"", ""سند"": ""منگوله‌دار"", ""نوع آشپزخانه"": ""اپن""}",2026-08-17T19:22:20.646695,https://divar.ir/v/gaa9EX-y,29500000256,personal,,,تهران,شهرآرا,فروش آپارتمان,۱۱۰ متر دو خوابه +۱۱۰ متر تراس در اختیار,"ستارخان باقرخان غربی
بهترین فرصت سرمایه گذاری
۱۱۰ متر دو خوابه
۱۱۰ متر تراس در اختیار
طبقه سوم سندی تک واحدی
غرق در نور شمال و جنوب
داراری ۶۰ متر مربع قدرالسهم
دارای بالکن قابل چیدمان
ویو دار
کمد های فراوان 
با املاک همکاری نمی شود",۱۱۰,قبل از ۱۳۷۰,۲,"‏۲۹,۵۰۰,۰۰۰,۰۰۰ تومان","‏۲۶۸,۱۸۱,۰۰۰ تومان",۴ از ۴,gaa9EX-y
"{""آسانسور"": true, ""پارکینگ"": true, ""انباری"": true, ""بالکن دارد"": true}","{""سند"": ""تک‌برگ"", ""وضعیت سکونت"": ""تخلیه"", ""بازسازی‌ شده"": ""هست""}",2026-08-16T15:55:35.912542,https://divar.ir/v/gaxA0sM2,7550000128,premium-panel,,,تهران,اسکندری,فروش آپارتمان,۴۵ متر/فول امکانات/بی رقیب در منطقه/تخلیه,"‼️‼️ واحدی که برای خرید میخواستی پیدا شد ‼️‼️

با پارکینگ سندی اسانسور و بالکن 
اختصاصی بدون مزاحم 
دسترسی عالی به مترو ۵ دقیقه پیاده

سند تک برگ با تمامی استعلامات ثبتی دفتر اسناد 

برای اطلاعات بیشتر تماس بگیرید


فایل های مشابه و با هر بودجه ای نسبت به شرایط پرداخت شما موجود میباشد برای معرفی تماس بگیرید 

عرفانی راد مشاور تخصصی منطقه ۱۰-۱۱",۴۵,۱۳۹۶,۱,"‏۷,۵۵۰,۰۰۰,۰۰۰ تومان","‏۱۶۷,۷۷۷,۰۰۰ تومان",۱,gaxA0sM2
"{""آسانسور ندارد"": false, ""پارکینگ ندارد"": false, ""انباری"": true}",{},2026-08-14T12:25:03.617021,https://divar.ir/v/gaVlfV4L,4200000000,premium-panel,,,تهران,اسکندری,فروش آپارتمان,این فرصت فقط دیگه تکرار نمیشه/ خ اسکندری /تک‌ خواب,"بی شک بهترین قیمت ها برای ماست ‼️

««فرصت محدود فقط برای خریدارانی ک از گشتن ناامید شدن»»

✅ ۳۷ متر 
✅ با انباری سندی 
✅ یک‌ خوابه 

برای اطلاعات بیشتر تماس بگیرید

فایل های مشابه و با هر بودجه ای نسبت به شرایط پرداخت شما موجود میباشد برای معرفی تماس بگیرید 

عرفانی راد مشاور تخصصی منطقه ۱۰-۱۱",۳۷,۱۳۸۳,۱,"‏۴,۲۰۰,۰۰۰,۰۰۰ تومان","‏۱۱۳,۵۱۳,۰۰۰ تومان",۴,gaVlfV4L
"{""آسانسور"": true, ""پارکینگ ندارد"": false, ""انباری"": true, ""سرویس بهداشتی ایرانی و فرنگی"": true}","{""بازسازی‌ شده"": ""هست""}",2026-08-17T19:11:38.636626,https://divar.ir/v/gaTZ29UZ,10499999744,personal,,,تهران,امیریه,فروش آپارتمان,فروش آپارتمان منیریه پیران عقل,"با سلام یک دستگاه آپارتمان ۵۷ متری در بهترین لوکیشن منیریه دنج و آرام
رو به نما
دارای همسایگان بسیار با شخصیت 
دوربین مدار بسته سر تا سر مشاعات
نگهبان ۲۴ ساعته
آسانسور 
انباری 
توالت ایرانی و فرنگی
یک خواب بزرگ 
پمپ آب ۵۰۰۰ لیتری فشار آب بی نظیر
مدیریت بسیار قوی و توانمد
فروش فقط به دلیل کمبود جا... 
بند مالک هستم صفر تا صد باز سازی شده این واحد",۵۷,۱۳۸۵,۱,"‏۱۰,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۸۴,۲۱۰,۰۰۰ تومان",۴,gaTZ29UZ
"{""آسانسور"": true, ""پارکینگ ندارد"": false, ""انباری"": true, ""بالکن دارد"": true, ""جنس کف سرامیک"": true, ""سرویس بهداشتی ایرانی"": true, ""سرمایش کولر گازی"": true, ""گرمایش شوفاژ"": true}","{""تعداد واحد در طبقه"": ""۲"", ""تعداد کل طبقات ساختمان"": ""۵"", ""سند"": ""منگوله‌دار"", ""نوع آشپزخانه"": ""اپن"", ""نمای ساختمان"": ""سنگ"", ""وضعیت سکونت"": ""مالک سکونت دارد"", ""تعداد سرویس بهداشتی"": ""۱""}",2026-08-17T18:50:19.553635,https://divar.ir/v/gaad08U8,15500000256,personal,,,تهران,منیریه,فروش آپارتمان,۸۷ متری منیریه,"۸۷ متر نبش منیریه کوچه فردوس
اسانسور
بالکن ۳متری
انباری ۹متری",۸۷,۱۳۷۷,۲,"‏۱۵,۵۰۰,۰۰۰,۰۰۰ تومان","‏۱۷۸,۱۶۰,۰۰۰ تومان",۵ از ۵,gaad08U8
"{""آسانسور ندارد"": false, ""پارکینگ ندارد"": false, ""انباری"": true}","{""تعداد واحد در طبقه"": ""۱"", ""تعداد کل طبقات ساختمان"": ""۳"", ""وضعیت سکونت"": ""تخلیه""}",2026-08-17T18:54:12.369912,https://divar.ir/v/gaah06eM,12899999744,personal,,,تهران,جمهوری,فروش آپارتمان,۱۱۵ متر /همکف,"۸۵ متر همکف
۶ متر پاسیو
۲۴ متر سویت سندی
جمع کل ۱۱۵ متر
ارتفاع سقف ۳ متر
۳ طبقه تک واحدی.
زیر قیمت منطقه
تخلیه
نیاز به بازسازی آشپزخونه دارد.
لطفا املاک تماس نگید با املاک همکاری نمی کنیم.
فروش فوری",۱۱۵,قبل از ۱۳۷۰,۲,"‏۱۲,۹۰۰,۰۰۰,۰۰۰ تومان","‏۱۱۲,۱۷۳,۰۰۰ تومان",همکف از ۳,gaah06eM
"{""آسانسور"": true, ""پارکینگ"": true, ""انباری ندارد"": false, ""بالکن دارد"": true, ""جنس کف سنگ"": true, ""سرویس بهداشتی فرنگی"": true}","{""تعداد کل طبقات ساختمان"": ""۵"", ""سند"": ""تک‌برگ"", ""نمای ساختمان"": ""سنگ"", ""وضعیت سکونت"": ""مستاجر سکونت دارد"", ""تعداد سرویس بهداشتی"": ""۲"", ""تعداد پارکینگ"": ""۱"", ""بازسازی‌ شده"": ""هست""}",2026-08-15T18:49:44.299282,https://divar.ir/v/gaXRK8s1,22000001024,premium-panel,,,تهران,فلسطین (میدان انقلاب),فروش آپارتمان,۷۰ متر فول/ بی بدیل/ بلوارکشاورز(بزرگمهر),"《《 واحد کارشناسی شده
خوش نقشه،کم سن و به قیمت
مناسب سکونت خانواده 》》

 ۷۰متر/۲ خواب/طبقه سوم

 ✅️واحد دارای نورگیر عالی
 ✅️سالن پرده خور
 ✅️خواب مستر
 ✅️فول بازسازی شده
 ✅️سالن مربع با قابلیت انواع چیدمان


فایل شخصی☑️
جهت بازدید و اطلاعات بیشتر همین حالا تماس بگیرید☎️

کارشناس تخصصی منطقه : باقری
املاک پلانو آغاز یک زندگی بهتر✨️",۷۰,۱۳۹۵,۲,"‏۲۲,۰۰۰,۰۰۰,۰۰۰ تومان","‏۳۱۴,۲۸۵,۰۰۰ تومان",۳ از ۵,gaXRK8s1
"{""آسانسور"": true, ""پارکینگ"": true, ""انباری"": true, ""بالکن دارد"": true, ""جنس کف سنگ"": true, ""سرویس بهداشتی ایرانی و فرنگی"": true}","{""تعداد واحد در طبقه"": ""۱"", ""تعداد کل طبقات ساختمان"": ""۶"", ""جهت ساختمان"": ""جنوبی"", ""سند"": ""تک‌برگ"", ""نوع آشپزخانه"": ""اپن"", ""نمای ساختمان"": ""سنگ"", ""وضعیت سکونت"": ""تخلیه""}",2026-08-17T18:43:37.912646,https://divar.ir/v/gaaZ0f4o,46000001024,premium-panel,,,تهران,یوسف‌آباد,فروش آپارتمان,آپارتمان ۱۳۰ متری / فول / تک واحدی / فایل شخصی,"همسایگان قدیمی و ساکن 
ساختمان تک واحدی (۶ واحد)
نورگیری عالی از دو جهت شمالی و جنوبی 
نقشه بسیار کاربردی و خوش چیدمان
چشم انداز دلنشین به فضای سبز و پارک
مشاعات بسیار تمیز و نگهداری عالی (ده ساله)
فول امکانات (آسانسور؛پارکینگ؛انباری؛بالکن)

✨ فایل شخصی و در اختیار ؛ زمان بازدید آزاد ✨

پلانــو ؛ آغاز یک زندگی بهتــر",۱۳۰,۱۳۹۵,۲,"‏۴۶,۰۰۰,۰۰۰,۰۰۰ تومان","‏۳۵۳,۸۴۶,۰۰۰ تومان",۲ از ۶,gaaZ0f4o
"{""آسانسور ندارد"": false, ""پارکینگ ندارد"": false, ""انباری ندارد"": false}","{""تعداد واحد در طبقه"": ""۱""}",2026-08-21T23:40:26.246446,https://divar.ir/v/ga4U0J0K,27000000512,premium-panel,,,تهران,یوسف‌آباد,فروش آپارتمان,۱۷۰متر ۳خوابه یوسف اباد,"قدیمی
یک واحد از ۳واحد
۲۶۰زمین
سهم زمین قابل توجه
مناسب سکونت و سرمایه گذاری",۱۷۰,۱۳۷۳,۳,"‏۲۷,۰۰۰,۰۰۰,۰۰۰ تومان","‏۱۵۸,۸۲۳,۰۰۰ تومان",۲,ga4U0J0K
"{""آسانسور"": true, ""پارکینگ"": true, ""انباری"": true, ""بالکن دارد"": true, ""جنس کف سرامیک"": true, ""سرویس بهداشتی ایرانی و فرنگی"": true, ""سرمایش کولر آبی"": true, ""گرمایش شوفاژ"": true, ""تأمین‌کننده آب گرم پکیج"": true}","{""تعداد واحد در طبقه"": ""۱"", ""تعداد کل طبقات ساختمان"": ""۴"", ""جهت ساختمان"": ""غربی"", ""سند"": ""تک‌برگ"", ""نوع آشپزخانه"": ""اپن"", ""نمای ساختمان"": ""سنگ"", ""وضعیت سکونت"": ""مستاجر سکونت دارد"", ""تعداد سرویس بهداشتی"": ""۲"", ""تعداد پارکینگ"": ""۱"", ""تعداد حمام"": ""۱""}",2026-08-17T18:39:08.265658,https://divar.ir/v/gaaVUbne,14400000000,personal,,,تهران,قلمستان,فروش آپارتمان,90 متر مدرس ناصر شراره,"نوساز 
فول امکانات 
بسیار خوش نقشه 
سالن قابل چیدمان 
نور مستقیم 
متریال درجه یک
پارکینگ، انباری، آسانسور 
دوربین مداربسته 
مشاعات تمام سنگ
اشتباه نکنید 5 طبقه یا 6 طبقه نیست
4 طبقه تکواحدی 
قدرالسهم دار
طبقه  سوم
بهترین طبقه و بهترین پارکینگ 
شخصی ساز 
عکس ها واقعی 
سند آماده ،کاتب
قابلیت رهن تا 2.200میلیارد
موقعیت مناسب برای سرمایه‌گذاری و سکونت
خرید مستقیم از مالک",۹۱,۱۴۰۴,۲,"‏۱۴,۴۰۰,۰۰۰,۰۰۰ تومان","‏۱۵۸,۲۴۱,۰۰۰ تومان",۳ از ۴,gaaVUbne
